burnout_level,profile_type,high_burnout,age_norm,experience_years_norm,daily_work_hours_norm,sleep_hours_norm,caffeine_intake_norm,bugs_per_day_norm,commits_per_day_norm,meetings_per_day_norm,screen_time_norm,exercise_hours_norm,stress_level_norm,sleep_quality_norm,workload_index_norm,age_scaled_norm,experience_years_scaled_norm,daily_work_hours_scaled_norm,sleep_hours_scaled_norm,caffeine_intake_scaled_norm,bugs_per_day_scaled_norm,commits_per_day_scaled_norm,meetings_per_day_scaled_norm,screen_time_scaled_norm,exercise_hours_scaled_norm,stress_level_scaled_norm
Medium,Riesgo,0,0.25,0.63158,0.633,0.09,0.28571,0.57895,0.13793,0.11111,0.75554,0.07,0.5596,0.0595,0.23451,0.25,0.63158,0.633,0.09,0.28571,0.57895,0.13793,0.11111,0.75554,0.07,0.5596
High,Riesgo,1,0.79167,0.52632,0.462,0.354,0.71429,0.78947,0.37931,0.55556,0.60623,0.27,0.8222,0.17697,0.43096,0.79167,0.52632,0.462,0.354,0.71429,0.78947,0.37931,0.55556,0.60623,0.27,0.8222
Medium,Riesgo,0,0.58333,0.68421,0.499,0.006,0.71429,0.10526,0.62069,1.0,0.43642,0.77,0.6177,0.10902,0.67139,0.58333,0.68421,0.499,0.006,0.71429,0.10526,0.62069,1.0,0.43642,0.77,0.6177
Medium,Riesgo,0,0.41667,0.05263,0.285,0.494,0.28571,0.78947,0.89655,0.11111,0.43314,0.48,0.5498,0.29447,0.62614,0.41667,0.05263,0.285,0.494,0.28571,0.78947,0.89655,0.11111,0.43314,0.48,0.5498
Low,Riesgo,0,0.29167,0.36842,0.024,0.36,0.57143,0.47368,0.58621,0.77778,0.17966,0.18,0.279,0.39352,0.50751,0.29167,0.36842,0.024,0.36,0.57143,0.47368,0.58621,0.77778,0.17966,0.18,0.279
Medium,Riesgo,0,0.83333,0.10526,0.625,0.556,0.0,1.0,0.93103,0.44444,0.7621,0.39,0.5106,0.19064,0.78262,0.83333,0.10526,0.625,0.556,0.0,1.0,0.93103,0.44444,0.7621,0.39,0.5106
Medium,Riesgo,0,0.25,0.52632,0.253,0.72,0.85714,0.21053,0.37931,1.0,0.28876,0.27,0.3909,0.4773,0.47135,0.25,0.52632,0.253,0.72,0.85714,0.21053,0.37931,1.0,0.28876,0.27,0.3909
High,Riesgo,1,0.75,0.0,0.669,0.25,0.71429,0.63158,0.06897,0.22222,0.71534,0.05,0.7768,0.11462,0.22098,0.75,0.0,0.669,0.25,0.71429,0.63158,0.06897,0.22222,0.71534,0.05,0.7768
High,Riesgo,1,0.91667,0.94737,0.747,0.158,0.57143,0.57895,0.86207,0.11111,0.71206,0.765,0.7356,0.08825,0.70269,0.91667,0.94737,0.747,0.158,0.57143,0.57895,0.86207,0.11111,0.71206,0.765,0.7356
Medium,Riesgo,0,0.41667,0.89474,0.916,0.278,0.42857,0.0,0.10345,0.33333,0.70386,0.29,0.4678,0.12574,0.3155,0.41667,0.89474,0.916,0.278,0.42857,0.0,0.10345,0.33333,0.70386,0.29,0.4678
High,Riesgo,1,0.41667,0.84211,0.958,0.002,0.28571,1.0,0.48276,0.77778,0.73093,0.945,1.0,0.03873,0.64157,0.41667,0.84211,0.958,0.002,0.28571,1.0,0.48276,0.77778,0.73093,0.945,1.0
Low,Riesgo,0,0.95833,1.0,0.011,0.12,0.71429,0.52632,0.48276,0.0,0.0,0.89,0.2676,0.42075,0.2933,0.95833,1.0,0.011,0.12,0.71429,0.52632,0.48276,0.0,0.0,0.89,0.2676
High,Riesgo,1,0.5,0.63158,0.99,0.75,0.85714,0.94737,0.34483,1.0,0.83839,0.715,1.0,0.22178,0.60605,0.5,0.63158,0.99,0.75,0.85714,0.94737,0.34483,1.0,0.83839,0.715,1.0
High,Riesgo,1,0.125,0.10526,0.683,0.222,0.0,0.73684,0.03448,0.22222,0.57506,0.325,0.8194,0.14348,0.20279,0.125,0.10526,0.683,0.222,0.0,0.73684,0.03448,0.22222,0.57506,0.325,0.8194
Medium,Riesgo,0,0.29167,0.0,0.644,0.994,0.28571,0.89474,0.58621,0.0,0.69647,0.28,0.4865,0.34165,0.49059,0.29167,0.0,0.644,0.994,0.28571,0.89474,0.58621,0.0,0.69647,0.28,0.4865
Low,Riesgo,0,0.95833,0.15789,0.015,0.168,1.0,0.78947,0.06897,0.11111,0.17637,0.475,0.3426,0.29835,0.06154,0.95833,0.15789,0.015,0.168,1.0,0.78947,0.06897,0.11111,0.17637,0.475,0.3426
High,Riesgo,1,0.08333,0.63158,0.861,0.788,0.71429,0.31579,0.58621,1.0,0.95488,0.355,0.775,0.19925,0.72679,0.08333,0.63158,0.861,0.788,0.71429,0.31579,0.58621,1.0,0.95488,0.355,0.775
